Date,Stock 1,Stock 2,Stock 3,Index 1,Index 2,Index 3
2020-01-01,0.04529114281154434,0.9659323706707811,0.2954008594192379,0.974974512705998,0.9830946229034274,0.9846389654396271
2020-01-02,0.052968383405814334,0.9645968310286686,0.3201942447976607,0.9856727083740122,0.985241586968142,0.9867891447893589
2020-01-03,0.07749802136364159,0.9719994821063929,0.3021064622885463,0.9945173066673831,0.9891251102338017,0.9906669272943118
2020-01-06,0.08131573170753792,1.0,0.3334145613356605,1.0000000000000002,0.9999999999999999,1.0000000000000002
2020-01-07,0.07019143546565698,0.949897269784933,0.336025197233782,0.9740470824393299,0.9784494898606588,0.9817292612583132
2020-01-08,0.05211501622084991,0.9534660150038846,0.31278886497465175,0.9681569800941389,0.971015258341991,0.9863200841293035
2020-01-09,0.05190548135773643,0.8519627239632463,0.30396565145711785,0.9348901878980445,0.9296130538675119,0.9558977897777329
2020-01-10,0.09503100379596896,0.88509661658694,0.3322972499250123,0.9587790087724388,0.952033554043261,0.9780627100956193
2020-01-13,0.07144347381759042,0.8787252998536458,0.3144941324723467,0.9553475232013349,0.9452282748758881,0.9607670851450959
2020-01-14,0.07653728854586617,0.7936804903854002,0.336888820836831,0.9316452282528107,0.9218070119053768,0.9362941068211235
2020-01-15,0.07327059007943815,0.7180839326495947,0.3497069519951008,0.9069867182655654,0.8907000076855328,0.9060765799597913
2020-01-16,0.05586147096321237,0.7094941650806221,0.38125152608309065,0.9086330494719866,0.8859534011009782,0.9061227543486653
2020-01-17,0.06148916288021855,0.6826915038725389,0.43978028511018286,0.9043506484682147,0.8952239150735049,0.8961486426691578
2020-01-20,0.05526321501349529,0.6957238055318787,0.4432381072180118,0.9078151905961838,0.9004035486738698,0.8920131762824972
2020-01-21,0.05184604869191678,0.6541754399455282,0.4118586412859311,0.8900597246232704,0.8784869497054006,0.8693454530553715
2020-01-22,0.059629330469419095,0.6474789832693284,0.39096258155476793,0.889222571108237,0.8758317476492358,0.8705078689581887
2020-01-23,0.048677698500029676,0.6453574397339351,0.37557805597668326,0.8784970995896229,0.872976322698945,0.8675174768249718
2020-01-24,0.04875690553025458,0.6036464258361545,0.3601206527288512,0.8571490635242983,0.85500183911404,0.8469717628033943
