User,Date Created,Number of Likes,Number of Retweets,Source of Tweet,Tweet
Tim Cook,2020-12-25 14:31:37+00:00,21158,1156,,"This year, we are more grateful than ever for the resilience and compassion of the human spirit. Wishing you and your loved ones a Merry Christmas 🌟"
Tim Cook,2020-12-17 23:54:19+00:00,100638,14333,,"We believe users should have the choice over the data that is being collected about them and how it’s used. Facebook can continue to track users across apps and websites as before, App Tracking Transparency in iOS 14 will just require that they ask for your permission first. https://t.co/UnnAONZ61I"
Tim Cook,2020-12-16 17:51:21+00:00,2811,218,,"I am constantly inspired by how passionate our employees are about giving back to their communities. This year especially, our teams have come together to support those facing unprecedented challenges. Together we’ll get through even the hardest times. https://t.co/NdUd80dCBW"
Tim Cook,2020-12-14 20:46:08+00:00,5327,457,,"From the beginning, we’ve focused on creating products &amp; services that help people live a better day. Apple Fitness+ takes it even further—a new fitness service built around Apple Watch, made to meet you wherever you are. 3, 2, 1... Let's go!⌚💪 https://t.co/bBJVD0REkY"
Tim Cook,2020-12-12 17:49:59+00:00,4645,335,,"The 5th anniversary of the #ParisAgreement marks a moment of historic urgency. Leaders of nations, of companies and of communities have a responsibility to act. Apple is proud of our progress and bold commitments. We will keep doing all we can to protect the planet we share."
Tim Cook,2020-12-12 01:26:15+00:00,2132,178,,Stunning iPad creation by the one and only David Hockney to celebrate Beethoven’s genius and enduring influence on music. #Beethoven250 https://t.co/LGz3wmNAP1
Tim Cook,2020-12-11 00:29:56+00:00,5561,246,,"Sending wishes of health and happiness to everyone around the world celebrating Hanukkah. May your days be filled with light and joy.
חנוכה שמח 🕎"
Tim Cook,2020-12-09 16:24:11+00:00,1315,84,,"Great to be working with @DenmarkTechSC and nearly three dozen HBCUs to empower future entrepreneurs, leaders and creators! https://t.co/5oORWF8KAC"
Tim Cook,2020-12-08 05:14:05+00:00,8337,517,,"Congratulations to the hundreds of students across Indonesia and Brazil graduating from the Apple Developer Academy this week! In a year of unprecedented challenges, your talent, creativity and ingenuity have shone through. We can’t wait to see what you do next!"
Tim Cook,2020-12-07 19:15:52+00:00,2895,348,,"As we work together to fight the rise in cases in California, exposure notifications will help slow the spread of COVID-19 and put our neighbors’ health first. Thank you @GavinNewsom &amp; @Google for helping bring CA Notify to Californians while putting privacy at the very center. https://t.co/LbsBQn6zCD"
Tim Cook,2020-12-05 04:33:12+00:00,1361,156,,"It’s incredible to see art, creativity and technology come together in celebration of a new exhibit honoring Aotearoa New Zealand’s indigenous Māori people and culture. Congratulations to @ChelseaPaparoa and all the artists involved. #ShotOniPhone https://t.co/6nF6TJO0ZC https://t.co/nlbiko8I9M"
